trial_id,sub_phase,algorithm,test_case_id,trial_number,random_seed,planning_success,execution_success,path_planning_time,path_execution_time,total_time,path_smoothness_msj,path_distance_raw,path_distance_optimal,path_optimality_ratio,collision_flag,num_contact_points,algorithm_specific_metadata
1,sparse,a_star,0,1,,False,False,30.089486807000867,,,,,,,,,"{""reason"": ""timeout/expansion cap"", ""d_optimal"": null, ""cells_expanded"": 92463}"
2,sparse,a_star,1,2,,True,True,0.03909672599911573,5.55,5.5890967259991156,0.7555290693575027,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""d_optimal"": 1.547867163289478, ""internal_plan_time"": 0.03908486900036223, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
3,sparse,a_star,2,3,,True,True,0.02877550199991674,5.4,5.428775501999917,0.8439866802617243,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""d_optimal"": 1.0803357971180185, ""internal_plan_time"": 0.028769186999852536, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
4,sparse,a_star,3,4,,False,False,30.128248913999414,,,,,,,,,"{""reason"": ""timeout/expansion cap"", ""d_optimal"": null, ""cells_expanded"": 99251}"
5,sparse,a_star,4,5,,False,False,30.117466678999335,,,,,,,,,"{""reason"": ""timeout/expansion cap"", ""d_optimal"": null, ""cells_expanded"": 109793}"
6,sparse,a_star,5,6,,False,False,30.095081981000476,,,,,,,,,"{""reason"": ""timeout/expansion cap"", ""d_optimal"": null, ""cells_expanded"": 79060}"
7,sparse,a_star,6,7,,False,False,30.061264292000487,,,,,,,,,"{""reason"": ""timeout/expansion cap"", ""d_optimal"": null, ""cells_expanded"": 85049}"
8,sparse,a_star,7,8,,True,True,0.037419082000269555,4.1,4.137419082000269,2.537411800938722,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""d_optimal"": 0.9169053985122886, ""internal_plan_time"": 0.03740973599997233, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
9,sparse,a_star,8,9,,True,True,0.04340789500020037,5.691666666666666,5.735074561666867,0.6831990628298816,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""d_optimal"": 1.4301949649876442, ""internal_plan_time"": 0.04340128300100332, ""method"": ""direct"", ""cells_expanded"": 0, ""grid_cells"": 0, ""shortcut_corners"": 2}"
10,sparse,a_star,9,10,,False,False,30.05371460099923,,,,,,,,,"{""reason"": ""timeout/expansion cap"", ""d_optimal"": null, ""cells_expanded"": 63809}"
11,sparse,min_jerk,0,1,,True,True,0.0001916169985634042,3.683333333333333,3.6835249503318965,3.892735927614448,1.1383690196204033,,nan,True,107,"{""duration"": 2.9182540994577657, ""n_samples"": 700}"
12,sparse,min_jerk,1,2,,True,True,9.04829994397005e-05,5.55,5.5500904829994395,0.755529069108697,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""duration"": 3.8579325579850603, ""n_samples"": 926}"
13,sparse,min_jerk,2,3,,True,True,8.534300104656722e-05,5.4,5.400085343001047,0.8439866802683312,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""duration"": 3.0544405789239986, ""n_samples"": 733}"
14,sparse,min_jerk,3,4,,True,True,0.00012118400081817526,6.625,6.625121184000818,0.37278133835468097,1.4376882633025732,,nan,True,736,"{""duration"": 4.782529127965255, ""n_samples"": 1148}"
15,sparse,min_jerk,4,5,,True,True,0.00012074799997208174,6.991666666666666,6.991787414666638,0.3003562699749589,2.381809115165857,,nan,True,1205,"{""duration"": 4.7663279436661945, ""n_samples"": 1144}"
16,sparse,min_jerk,5,6,,True,True,0.00010354400001233444,5.7,5.7001035440000125,0.6795687097541462,1.7374321607414362,,nan,True,830,"{""duration"": 3.6178429601513686, ""n_samples"": 868}"
17,sparse,min_jerk,6,7,,True,True,0.00012666000111494213,7.795833333333333,7.795959993334448,0.194312822599179,3.961275383806843,,nan,True,1197,"{""duration"": 5.777941948300665, ""n_samples"": 1387}"
18,sparse,min_jerk,7,8,,True,True,0.00010918899897660594,4.1,4.100109188998976,2.5374118015167735,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""duration"": 3.7299959926494983, ""n_samples"": 895}"
19,sparse,min_jerk,8,9,,True,True,0.00013809600022796076,5.691666666666666,5.691804762666894,0.683199062841619,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""duration"": 4.420629854386258, ""n_samples"": 1061}"
20,sparse,min_jerk,9,10,,True,True,9.689199941931292e-05,6.054166666666666,6.054263558666086,0.5341101808119808,1.4861514480863962,,nan,True,66,"{""duration"": 4.300941492292727, ""n_samples"": 1032}"
21,sparse,RRT,0,1,,True,True,0.09094283099875611,3.7958333333333334,3.8867761643320895,4178433.974577276,1.1701361055443775,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 60}"
22,sparse,RRT,1,2,,True,True,0.05531773900111148,5.55,5.605317739001111,0.7555290693723471,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 79}"
23,sparse,RRT,2,3,,True,True,0.036897712998325005,5.4,5.436897712998325,0.843986680402928,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 63}"
24,sparse,RRT,3,4,,True,True,1.6326562920003198,7.725,9.35765629200032,3696357.828805451,2.4425280587696485,,nan,True,56,"{""ompl_states"": 5, ""shortcut_corners"": 5, ""dense_waypoints"": 104}"
25,sparse,RRT,4,5,,True,True,0.1627565480011981,8.416666666666666,8.579423214667864,4006331.4586934173,2.9392635401081337,,nan,False,0,"{""ompl_states"": 4, ""shortcut_corners"": 4, ""dense_waypoints"": 114}"
26,sparse,RRT,5,6,,True,True,0.10308498499944108,6.741666666666666,6.844751651666107,8747903.517429525,1.6316358713179726,,nan,True,15,"{""ompl_states"": 4, ""shortcut_corners"": 5, ""dense_waypoints"": 104}"
27,sparse,RRT,6,7,,False,False,5.00019725600032,,,,,,,,,"{""reason"": ""no exact solution"", ""approximate"": true, ""gap"": 7.366795005395403}"
28,sparse,RRT,7,8,,True,True,0.047621648000131245,4.1,4.147621648000131,2.537411801127427,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 76}"
29,sparse,RRT,8,9,,True,True,0.06440071299948613,5.691666666666666,5.756067379666153,0.6831990628382911,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 90}"
30,sparse,RRT,9,10,,True,True,0.11429598599897872,6.2,6.314295985998979,1797763.5219825672,1.5458541825699346,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 91}"
31,sparse,RRT-Connect,0,1,,True,True,0.07033101099841588,4.2125,4.282831010998416,12155165.30896156,1.3715219839567312,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 66}"
32,sparse,RRT-Connect,1,2,,True,True,0.05410565000056522,5.55,5.604105650000565,0.7555290693723471,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 79}"
33,sparse,RRT-Connect,2,3,,True,True,0.050291984000068624,5.4,5.450291984000069,0.843986680402928,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 63}"
34,sparse,RRT-Connect,3,4,,True,True,0.3564244809986121,7.583333333333333,7.939757814331945,7315276.354536341,1.7513026735691588,,nan,True,14,"{""ompl_states"": 5, ""shortcut_corners"": 5, ""dense_waypoints"": 109}"
35,sparse,RRT-Connect,4,5,,True,True,0.11841887700029474,8.491666666666667,8.610085543666962,3153659.5345655587,3.110528143665195,,nan,False,0,"{""ompl_states"": 4, ""shortcut_corners"": 4, ""dense_waypoints"": 113}"
36,sparse,RRT-Connect,5,6,,True,True,0.11009784700036107,6.2625,6.372597847000361,2972435.80455146,1.7709490957580483,,nan,False,0,"{""ompl_states"": 5, ""shortcut_corners"": 5, ""dense_waypoints"": 83}"
37,sparse,RRT-Connect,6,7,,False,False,5.0007607610004925,,,,,,,,,"{""reason"": ""no exact solution"", ""approximate"": true, ""gap"": 7.450726892308554}"
38,sparse,RRT-Connect,7,8,,True,True,0.027488617999551934,4.1,4.127488617999552,2.537411801127427,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 76}"
39,sparse,RRT-Connect,8,9,,True,True,0.041401181000765064,5.691666666666666,5.7330678476674315,0.6831990628382911,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 90}"
40,sparse,RRT-Connect,9,10,,True,True,0.08437702799892577,6.566666666666666,6.651043694665592,8127949.20798236,1.9119741554042278,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 88}"
41,sparse,RRT*,0,1,,True,True,5.058945399001459,3.8541666666666665,8.913112065668125,6372521.69899432,1.2362025704662105,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 60}"
42,sparse,RRT*,1,2,,True,True,5.049035410000215,5.55,10.599035410000216,0.7555290693723471,1.5478957618411366,1.547867163289478,1.0000184761020434,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 79}"
43,sparse,RRT*,2,3,,True,True,5.039729549000185,5.4,10.439729549000186,0.843986680402928,1.0803592602765113,1.0803357971180185,1.0000217183939988,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 63}"
44,sparse,RRT*,3,4,,False,False,5.000929055000597,,,,,,,,,"{""reason"": ""no exact solution"", ""approximate"": true, ""gap"": 1.4524251724168067}"
45,sparse,RRT*,4,5,,True,True,5.076936389999901,7.370833333333334,12.447769723333234,1285214.9837426168,2.8530502554491943,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 98}"
46,sparse,RRT*,5,6,,True,True,5.058392644999913,6.033333333333333,11.091725978333246,5363913.266027463,1.7401639030532488,,nan,False,0,"{""ompl_states"": 3, ""shortcut_corners"": 3, ""dense_waypoints"": 86}"
47,sparse,RRT*,6,7,,False,False,5.000231358000747,,,,,,,,,"{""reason"": ""no exact solution"", ""approximate"": true, ""gap"": 7.532687028160434}"
48,sparse,RRT*,7,8,,True,True,5.031372843999634,4.1,9.131372843999634,2.537411801127427,0.9169079636268489,0.9169053985122886,1.0000027975782064,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 76}"
49,sparse,RRT*,8,9,,True,True,5.025507465999908,5.691666666666666,10.717174132666575,0.6831990628382911,1.4302069009094172,1.4301949649876442,1.0000083456606024,False,0,"{""ompl_states"": 2, ""shortcut_corners"": 2, ""dense_waypoints"": 90}"
